Time[s],Fx[N],Fy[N],Depth[m],Phi[deg],Theta[deg], Psi[deg],Control Enable
0,0,0,0,0,-6.3611e-15,0,1
0.01,0,0,0,0.00073506,0.0070105,-0.044013,1
0.02,0,0,0,-0.0024442,0.020809,-0.075096,1
0.03,0,0,0,-0.0087751,0.034786,-0.093052,1
0.04,0,0,0,-0.018831,0.051555,-0.097681,1
0.05,0,0,0,-0.03402,0.076102,-0.09178,1
0.06,0,0,0,-0.055177,0.095838,-0.07909,1
0.07,0,0,0,-0.078694,0.11096,-0.067477,1
0.08,0,0,0,-0.099383,0.12511,-0.060727,1
0.09,0,0,0,-0.11715,0.14222,-0.057993,1
0.1,0,0,0,-0.12987,0.15767,-0.058683,1
0.11,0,0,0,-0.13758,0.17238,-0.061571,1
0.12,0,0,0,-0.13894,0.18,-0.069891,1
0.13,0,0,0,-0.13271,0.19079,-0.085178,1
0.14,0,0,0,-0.12164,0.22162,-0.10664,1
0.15,0,0,0,-0.10825,0.26948,-0.1312,1
0.16,0,0,0,-0.064106,-0.34948,-0.15558,1
0.17,0,0,0,-0.04811,-0.53684,-0.17825,1
0.18,0,0,0,-0.045337,-0.67475,-0.19563,1
0.19,0,0,0,-0.047501,-0.76958,-0.2019,1
0.2,0,0,0,-0.088393,-0.79493,-0.20941,1
0.21,0,0,0,-0.1612,-0.83409,-0.21087,1
0.22,0,0,0,-0.26994,-0.93006,-0.21148,1
0.23,0,0,0,-0.39617,-1.028,-0.21118,1
0.24,0,0,0,-0.49003,-1.0874,-0.21101,1
0.25,0,0,0,-0.52696,-1.0244,-0.21588,1
0.26,0,0,0,-0.54319,-0.96347,-0.22505,1
0.27,0,0,0,-0.54558,-0.92163,-0.23809,1
0.28,0,0,0,-0.52807,-0.88946,-0.25359,1
0.29,0,0,0,-0.51784,-0.87102,-0.26136,1
0.3,0,0,0,-0.52568,-0.85981,-0.28494,1
0.31,0,0,0,-0.52936,-0.86141,-0.29179,1
0.32,0,0,0,-0.5331,-0.82868,-0.30185,1
0.33,0,0,0,-0.53027,-0.74797,-0.30669,1
0.34,0,0,0,-0.53097,-0.66099,-0.30712,1
0.35,0,0,0,-0.54384,-0.59235,-0.30852,1
0.36,0,0,0,-0.57283,-0.54872,-0.31196,1
0.37,0,0,0,-0.59196,-0.51072,-0.32061,1
0.38,0,0,0,-0.6009,-0.46649,-0.33574,1
0.39,0,0,0,-0.61393,-0.42175,-0.35565,1
0.4,0,0,0,-0.62191,-0.37858,-0.37737,1
0.41,0,0,0,-0.62882,-0.34558,-0.39884,1
0.42,0,0,0,-0.64197,-0.3238,-0.41668,1
0.43,0,0,0,-0.6482,-0.29854,-0.43134,1
0.44,0,0,0,-0.63777,-0.27057,-0.44255,1
0.45,0,0,0,-0.63108,-0.25763,-0.4507,1
0.46,0,0,0,-0.63634,-0.26877,-0.45854,1
0.47,0,0,0,-0.65031,-0.26605,-0.45962,1
0.48,0,0,0,-0.66718,-0.25925,-0.45934,1
0.49,0,0,0,-0.68105,-0.2458,-0.45634,1
0.5,0,0,0,-0.69292,-0.23299,-0.45233,1
0.51,0,0,0,-0.70108,-0.21881,-0.44619,1
0.52,0,0,0,-0.7095,-0.20805,-0.44162,1
0.53,0,0,0,-0.7161,-0.18719,-0.44045,1
0.54,0,0,0,-0.72199,-0.17032,-0.4424,1
0.55,0,0,0,-0.73188,-0.1629,-0.44848,1
0.56,0,0,0,-0.73898,-0.15914,-0.4582,1
0.57,0,0,0,-0.73798,-0.14847,-0.46747,1
0.58,0,0,0,-0.73171,-0.13693,-0.47395,1
0.59,0,0,0,-0.72814,-0.12799,-0.47703,1
0.6,0,0,0,-0.72831,-0.11798,-0.47599,1
0.61,0,0,0,-0.73219,-0.10738,-0.46879,1
0.62,0,0,0,-0.7401,-0.089532,-0.45099,1
0.63,0,0,0,-0.75372,-0.07158,-0.42316,1
0.64,0,0,0,-0.77391,-0.055311,-0.3871,1
0.65,0,0,0,-0.7954,-0.038862,-0.34759,1
0.66,0,0,0,-0.81571,-0.021899,-0.30341,1
0.67,0,0,0,-0.83415,-0.0033798,-0.25409,1
0.68,0,0,0,-0.84884,0.017191,-0.19612,1
0.69,0,0,0,-0.85885,0.032972,-0.12938,1
0.7,0,0,0,-0.87206,0.058904,-0.050771,1
0.71,0,0,0,-0.89302,0.088505,0.038707,1
0.72,0,0,0,-0.91986,0.10861,0.13747,1
0.73,0,0,0,-0.95056,0.13559,0.24509,1
0.74,0,0,0,-0.97744,0.1737,0.36257,1
0.75,0,0,0,-0.9994,0.21805,0.4914,1
0.76,0,0,0,-1.0196,0.26396,0.63161,1
0.77,0,0,0,-1.0392,0.31129,0.78813,1
0.78,0,0,0,-1.0654,0.3596,0.96008,1
0.79,0,0,0,-1.0973,0.4096,1.1523,1
0.8,0,0,0,-1.1378,0.46741,1.3657,1
0.81,0,0,0,-1.1914,0.51884,1.6025,1
0.82,0,0,0,-1.254,0.54416,1.8598,1
0.83,0,0,0,-1.322,0.55602,2.1358,1
0.84,0,0,0,-1.3916,0.56914,2.4309,1
0.85,0,0,0,-1.4631,0.58699,2.7438,1
0.86,0,0,0,-1.5312,0.60537,3.0715,1
0.87,0,0,0,-1.5957,0.63052,3.4112,1
0.88,0,0,0,-1.6549,0.67133,3.7685,1
0.89,0,0,0,-1.7088,0.72188,4.1514,1
0.9,0,0,0,-1.76,0.76478,4.5619,1
0.91,0,0,0,-1.8112,0.78544,4.9992,1
0.92,0,0,0,-1.8601,0.78061,5.463,1
0.93,0,0,0,-1.896,0.75536,5.947,1
0.94,0,0,0,-1.9079,0.7222,6.4442,1
0.95,0,0,0,-1.8974,0.68039,6.9556,1
0.96,0,0,0,-1.8675,0.62179,7.4777,1
0.97,0,0,0,-1.8187,0.54812,8.0149,1
0.98,0,0,0,-1.755,0.4684,8.5711,1
0.99,0,0,0,-1.6784,0.38233,9.157,1
1,0,0,0,-1.5908,0.28954,9.7669,1
1.01,0,0,0,-1.4879,0.18189,10.392,1
1.02,0,0,0,-1.3637,0.06415,11.03,1
1.03,0,0,0,-1.2144,-0.065829,11.673,1
1.04,0,0,0,-1.0464,-0.2187,12.319,1
1.05,0,0,0,-0.86161,-0.37751,12.969,1
1.06,0,0,0,-0.66819,-0.53586,13.636,1
1.07,0,0,0,-0.48231,-0.72029,14.323,1
1.08,0,0,0,-0.30539,-0.96102,15.026,1
1.09,0,0,0,-0.13837,-1.1945,15.748,1
1.1,0,0,0,0.015856,-1.4275,16.482,1
1.11,0,0,0,0.14685,-1.6819,17.221,1
